,Margin,Study,Most Common Choice,Most Common Choice Picked,Average Choice
Subj_1,-550,Steingroever2011,1.0,46,2.3933333333333335
Subj_2,-1600,Steingroever2011,2.0,57,2.3133333333333335
Subj_3,900,Steingroever2011,4.0,88,3.1
Subj_4,2200,Steingroever2011,4.0,111,3.4266666666666667
Subj_5,1900,Steingroever2011,4.0,135,3.72
Subj_6,-1500,Steingroever2011,1.0,48,2.2866666666666666
Subj_7,450,Steingroever2011,4.0,52,2.9133333333333336
Subj_8,3750,Steingroever2011,3.0,150,3.0
Subj_9,-50,Steingroever2011,2.0,64,2.493333333333333
Subj_10,2550,Steingroever2011,3.0,127,2.92
Subj_11,1450,Steingroever2011,4.0,114,3.3333333333333335
Subj_12,-900,Steingroever2011,2.0,77,2.42
Subj_13,1650,Steingroever2011,4.0,99,3.2866666666666666
Subj_14,-2250,Steingroever2011,2.0,102,2.1066666666666665
Subj_15,-50,Steingroever2011,2.0,62,2.48
Subj_16,1500,Steingroever2011,3.0,105,2.8266666666666667
Subj_17,-150,Steingroever2011,2.0,64,2.4
Subj_18,1100,Steingroever2011,2.0,57,2.6933333333333334
Subj_19,550,Steingroever2011,3.0,65,2.6733333333333333
Subj_20,1600,Steingroever2011,3.0,74,2.5933333333333333
Subj_21,2300,Steingroever2011,3.0,117,2.88
Subj_22,-500,Steingroever2011,2.0,48,2.6066666666666665
Subj_23,-1650,Steingroever2011,2.0,92,2.5
Subj_24,-600,Steingroever2011,3.0,67,2.486666666666667
Subj_25,200,Steingroever2011,4.0,44,2.7066666666666666
Subj_26,-1500,Steingroever2011,2.0,79,2.4266666666666667
Subj_27,1300,Steingroever2011,3.0,121,2.82
Subj_28,-2250,Steingroever2011,2.0,84,2.52
Subj_29,-3400,Steingroever2011,2.0,143,2.04
Subj_30,700,Steingroever2011,4.0,71,2.966666666666667
Subj_31,-2200,Steingroever2011,2.0,77,2.2466666666666666
Subj_32,-1550,Steingroever2011,2.0,78,2.4133333333333336
Subj_33,-1450,Steingroever2011,2.0,52,2.486666666666667
Subj_34,2800,Steingroever2011,3.0,138,2.933333333333333
