,Margin,Average Choice,Most Common Choice,StudyNumber
Subj_1,1150,3.4,4,0
Subj_2,-675,2.568421052631579,4,0
Subj_3,-750,2.778947368421053,4,0
Subj_4,-525,2.8105263157894735,4,0
Subj_5,100,3.0210526315789474,4,0
Subj_6,1250,3.221052631578947,4,0
Subj_7,-150,2.663157894736842,4,0
Subj_8,150,2.9263157894736844,4,0
Subj_9,-575,2.8421052631578947,4,0
Subj_10,1475,3.357894736842105,4,0
Subj_11,-350,2.6210526315789475,2,0
Subj_12,-325,2.463157894736842,2,0
Subj_13,450,2.873684210526316,4,0
Subj_14,-425,2.6,2,0
Subj_15,450,2.957894736842105,4,0
Subj_1,-550,2.3933333333333335,1,8
Subj_2,-1600,2.3133333333333335,2,8
Subj_3,900,3.1,4,8
Subj_4,2200,3.4266666666666667,4,8
Subj_5,1900,3.72,4,8
Subj_6,-1500,2.2866666666666666,1,8
Subj_7,450,2.9133333333333336,4,8
Subj_8,3750,3.0,3,8
Subj_9,-50,2.493333333333333,2,8
Subj_10,2550,2.92,3,8
Subj_11,1450,3.3333333333333335,4,8
Subj_12,-900,2.42,2,8
Subj_13,1650,3.2866666666666666,4,8
Subj_14,-2250,2.1066666666666665,2,8
Subj_15,-50,2.48,2,8
Subj_16,1500,2.8266666666666667,3,8
Subj_17,-150,2.4,2,8
Subj_18,1100,2.6933333333333334,2,8
Subj_19,550,2.6733333333333333,3,8
Subj_20,1600,2.5933333333333333,3,8
Subj_21,2300,2.88,3,8
Subj_22,-500,2.6066666666666665,2,8
Subj_23,-1650,2.5,2,8
Subj_24,-600,2.486666666666667,3,8
Subj_25,200,2.7066666666666666,4,8
Subj_26,-1500,2.4266666666666667,2,8
Subj_27,1300,2.82,3,8
Subj_28,-2250,2.52,2,8
Subj_29,-3400,2.04,2,8
Subj_30,700,2.966666666666667,4,8
Subj_31,-2200,2.2466666666666666,2,8
Subj_32,-1550,2.4133333333333336,2,8
Subj_33,-1450,2.486666666666667,2,8
Subj_34,2800,2.933333333333333,3,8
Subj_35,-4200,1.9,2,8
Subj_36,200,2.533333333333333,2,8
Subj_37,1300,3.006666666666667,4,8
Subj_38,2450,2.98,3,8
Subj_39,100,2.6,3,8
Subj_40,200,2.4,2,8
Subj_41,0,2.52,2,8
Subj_42,550,2.5733333333333333,3,8
Subj_43,800,2.76,2,8
Subj_44,-200,2.8266666666666667,2,8
Subj_45,-1300,2.3266666666666667,2,8
Subj_46,2350,3.7533333333333334,4,8
Subj_47,400,2.92,4,8
Subj_48,200,2.5933333333333333,4,8
Subj_49,-150,2.493333333333333,2,8
Subj_50,-1450,2.44,2,8
Subj_51,550,2.6733333333333333,2,8
Subj_52,1250,3.3066666666666666,4,8
Subj_53,-500,2.62,4,8
Subj_54,700,2.46,1,8
Subj_55,2450,3.533333333333333,4,8
Subj_56,-1650,2.3133333333333335,2,8
Subj_57,3750,3.0,3,8
Subj_58,-150,2.4133333333333336,2,9
Subj_59,150,2.7733333333333334,4,9
Subj_60,2950,2.92,3,9
Subj_61,250,2.5733333333333333,2,9
Subj_62,-500,2.4266666666666667,2,9
Subj_63,2100,2.74,3,9
Subj_64,2250,3.3333333333333335,4,9
Subj_65,-1550,2.7266666666666666,2,9
Subj_66,400,2.58,2,9
Subj_67,400,2.44,3,9
Subj_68,100,2.58,2,9
Subj_69,1900,3.513333333333333,4,9
Subj_70,1000,2.8533333333333335,3,9
Subj_71,2450,3.0533333333333332,3,9
Subj_72,250,2.466666666666667,3,9
Subj_73,200,2.3733333333333335,2,9
Subj_74,150,2.66,3,9
Subj_75,1250,2.84,3,9
Subj_76,100,2.8533333333333335,2,9
Subj_77,1550,2.8933333333333335,4,9
Subj_78,700,2.92,4,9
Subj_79,1200,2.7333333333333334,3,9
Subj_80,2150,2.74,3,9
Subj_81,-1850,2.3666666666666667,2,9
Subj_82,-50,2.86,4,9
Subj_83,-1300,2.453333333333333,2,9
Subj_84,-1000,2.513333333333333,2,9
Subj_85,-650,2.76,4,9
Subj_86,2050,2.953333333333333,3,9
Subj_87,-300,2.466666666666667,3,9
Subj_88,750,2.526666666666667,2,9
Subj_89,1650,2.993333333333333,4,9
Subj_90,1400,2.7066666666666666,3,9
Subj_91,1100,2.8066666666666666,4,9
Subj_92,-1950,2.3666666666666667,2,9
Subj_93,1550,2.52,3,9
Subj_94,300,2.513333333333333,2,9
Subj_95,2150,3.18,4,9
Subj_96,1450,3.14,4,9
Subj_97,1200,2.8066666666666666,4,9
Subj_98,-1800,2.3533333333333335,2,9
Subj_1,-1800,2.38,2,1
Subj_2,-800,2.7,2,1
Subj_3,-450,2.46,2,1
Subj_4,1200,2.85,4,1
Subj_5,-1300,2.65,2,1
Subj_6,-1200,2.1,2,1
Subj_7,400,2.68,2,1
Subj_8,-1000,2.42,1,1
Subj_9,700,2.69,2,1
Subj_10,-100,2.38,2,1
Subj_11,50,2.39,2,1
Subj_12,150,2.63,3,1
Subj_13,-50,2.92,2,1
Subj_14,-200,2.5,2,1
Subj_15,50,2.56,2,1
Subj_16,650,2.69,3,1
Subj_17,-1500,2.19,2,1
Subj_18,-850,2.93,4,1
Subj_19,-250,2.39,2,1
Subj_20,450,2.82,2,1
Subj_21,-750,2.49,4,1
Subj_22,600,2.51,2,1
Subj_23,-900,2.74,4,1
Subj_24,350,2.57,2,1
Subj_25,950,2.58,3,1
Subj_26,1100,3.24,4,1
Subj_27,-300,2.26,2,1
Subj_28,200,3.13,4,1
Subj_29,-300,2.44,2,1
Subj_30,400,2.6,2,1
Subj_31,750,2.59,3,1
Subj_32,-600,2.58,4,1
Subj_33,500,3.08,4,1
Subj_34,-400,2.55,2,1
Subj_35,850,2.47,3,1
Subj_36,-300,2.31,2,1
Subj_37,350,2.55,2,1
Subj_38,-1500,2.52,2,1
Subj_39,-2100,2.4,2,1
Subj_40,1000,2.89,2,1
Subj_41,350,2.64,3,1
Subj_42,50,2.29,2,1
Subj_43,-50,2.57,2,1
Subj_44,-1050,2.63,4,1
Subj_45,-1300,2.31,2,1
Subj_46,-300,3.25,4,1
Subj_47,-250,2.69,4,1
Subj_48,-750,2.76,3,1
Subj_49,400,2.68,4,1
Subj_50,-2300,1.97,2,1
Subj_51,200,2.61,4,1
Subj_52,-850,2.74,2,1
Subj_53,-1700,2.18,2,1
Subj_54,1050,3.3,4,1
Subj_55,200,2.92,2,1
Subj_56,100,2.74,4,1
Subj_57,-800,2.54,2,1
Subj_58,-700,2.59,2,1
Subj_59,-150,2.63,3,1
Subj_60,-1100,2.15,2,1
Subj_61,200,2.64,3,1
Subj_62,1700,3.1,3,1
Subj_63,-350,2.57,4,1
Subj_64,1200,2.76,3,1
Subj_65,-1250,2.24,2,1
Subj_66,550,2.5,2,1
Subj_67,50,2.52,2,1
Subj_68,200,2.66,4,1
Subj_69,1500,2.8,3,1
Subj_70,750,2.6,2,1
Subj_71,-1350,2.42,2,1
Subj_72,1950,3.3,4,1
Subj_73,600,2.58,4,1
Subj_74,1150,3.48,4,1
Subj_75,-300,2.65,2,1
Subj_76,100,2.53,2,1
Subj_77,-850,2.83,2,1
Subj_78,350,3.47,4,1
Subj_79,-450,2.68,4,1
Subj_80,800,2.58,2,1
Subj_81,100,2.58,2,1
Subj_82,-600,2.56,2,1
Subj_83,250,2.86,4,1
Subj_84,1050,2.98,4,1
Subj_85,-1200,2.45,2,1
Subj_86,-100,2.56,2,1
Subj_87,1050,3.81,4,1
Subj_88,-2450,2.0,2,1
Subj_89,-400,2.78,3,1
Subj_90,-1300,2.22,2,1
Subj_91,1200,3.02,3,1
Subj_92,200,2.31,2,1
Subj_93,800,2.7,4,1
Subj_94,900,2.73,3,1
Subj_95,-500,2.6,2,1
Subj_96,500,2.73,2,1
Subj_97,-250,2.84,4,1
Subj_98,-300,2.53,2,1
Subj_99,600,2.54,2,1
Subj_100,400,2.69,4,1
Subj_101,1050,2.9,4,1
Subj_102,550,3.02,3,1
Subj_103,-1100,2.42,2,1
Subj_104,700,2.82,4,1
Subj_105,50,2.62,2,1
Subj_106,150,2.74,2,1
Subj_107,800,3.0,4,1
Subj_108,-300,2.51,2,1
Subj_109,700,3.11,4,1
Subj_110,900,3.05,4,1
Subj_111,400,2.6,2,1
Subj_112,-2500,1.84,2,1
Subj_113,600,2.82,4,1
Subj_114,0,2.89,4,1
Subj_115,-800,2.6,4,1
Subj_116,100,2.52,2,1
Subj_117,-1550,2.57,2,1
Subj_118,-2150,1.9,2,1
Subj_119,-650,2.61,2,1
Subj_120,1150,2.68,4,1
Subj_121,100,3.01,4,1
Subj_122,1150,2.8,4,1
Subj_123,800,2.68,4,1
Subj_124,-1450,2.46,2,1
Subj_125,50,2.85,4,1
Subj_126,450,2.94,4,1
Subj_127,-200,2.42,2,1
Subj_128,1350,2.86,3,1
Subj_129,850,2.77,3,1
Subj_130,100,2.92,4,1
Subj_131,-100,2.78,2,1
Subj_132,1550,2.86,4,1
Subj_133,-400,2.76,4,1
Subj_134,-550,2.31,1,1
Subj_135,1250,2.88,3,1
Subj_136,750,2.58,4,1
Subj_137,800,2.56,3,1
Subj_138,600,2.8,4,1
Subj_139,-1200,2.42,2,1
Subj_140,-1300,2.24,2,1
Subj_141,400,2.86,4,1
Subj_142,1900,3.21,4,1
Subj_143,600,2.82,4,1
Subj_144,-650,2.65,2,1
Subj_145,-500,2.51,2,1
Subj_146,-1450,2.5,2,1
Subj_147,1300,2.75,3,1
Subj_148,-250,2.72,3,1
Subj_149,850,3.3,4,1
Subj_150,-200,2.5,2,1
Subj_151,700,2.93,3,1
Subj_152,-400,2.67,2,1
Subj_153,-1150,2.37,2,1
Subj_154,-550,2.66,2,1
Subj_155,300,3.16,4,1
Subj_156,550,2.43,1,1
Subj_157,0,2.9,4,1
Subj_158,-2300,2.15,2,1
Subj_159,400,2.67,4,1
Subj_160,-1100,2.32,2,1
Subj_161,600,2.84,2,1
Subj_162,450,3.46,4,1
Subj_163,-2510,2.42,2,2
Subj_164,-560,2.57,2,2
Subj_165,-1220,2.73,2,2
Subj_166,-225,2.92,4,2
Subj_167,1290,3.19,4,2
Subj_168,1045,3.16,4,2
Subj_169,290,3.17,4,2
Subj_170,-170,2.82,4,2
Subj_171,-1630,2.53,2,2
Subj_172,-1990,2.72,4,2
Subj_173,120,2.86,4,2
Subj_174,-250,2.69,4,2
Subj_175,-3285,1.97,1,2
Subj_176,505,2.89,3,2
Subj_177,905,3.23,4,2
Subj_178,805,2.84,4,2
Subj_179,-560,2.57,2,2
Subj_180,400,2.7,3,2
Subj_181,-1710,2.27,1,2
Subj_182,200,2.56,3,3
Subj_183,425,2.7,3,3
Subj_184,450,2.71,3,3
Subj_185,50,2.84,4,3
Subj_186,150,2.67,3,3
Subj_187,-300,2.55,3,3
Subj_188,725,2.98,3,3
Subj_189,875,2.98,4,3
Subj_190,-650,2.32,2,3
Subj_191,-50,2.45,2,3
Subj_192,0,2.75,4,3
Subj_193,625,2.77,3,3
Subj_194,1900,3.56,4,3
Subj_195,150,2.76,3,3
Subj_196,900,2.77,3,3
Subj_197,-600,2.56,2,3
Subj_198,-800,2.84,4,3
Subj_199,-825,2.18,1,3
Subj_200,1200,3.2,4,3
Subj_201,-200,2.69,4,3
Subj_202,875,2.81,3,3
Subj_203,-150,2.76,4,3
Subj_204,825,2.85,3,3
Subj_205,-450,2.37,2,3
Subj_206,1600,2.99,3,3
Subj_207,1150,2.93,3,3
Subj_208,1075,2.91,3,3
Subj_209,-1300,2.46,2,3
Subj_210,1950,3.48,4,3
Subj_211,0,2.63,2,3
Subj_212,300,2.47,2,3
Subj_213,-1225,2.53,2,3
Subj_214,2000,2.86,3,3
Subj_215,1150,3.44,4,3
Subj_216,-550,2.47,2,3
Subj_217,50,2.7,3,3
Subj_218,-150,2.48,2,3
Subj_219,650,2.71,3,3
Subj_220,1000,3.13,4,3
Subj_221,575,2.94,4,3
Subj_222,200,2.39,2,4
Subj_223,-850,2.54,2,4
Subj_224,250,2.52,3,4
Subj_225,2400,2.83,3,4
Subj_226,-1300,2.18,2,4
Subj_227,-1050,2.52,2,4
Subj_228,-750,2.59,2,4
Subj_229,0,3.04,4,4
Subj_230,1550,3.14,3,4
Subj_231,-450,3.38,4,4
Subj_232,-1650,2.33,2,4
Subj_233,550,2.73,3,4
Subj_234,1050,2.96,4,4
Subj_235,-250,2.49,2,4
Subj_236,-150,2.62,2,4
Subj_237,950,2.8,3,4
Subj_238,750,2.77,2,4
Subj_239,-1050,2.42,2,4
Subj_240,1150,3.34,4,4
Subj_241,300,2.57,2,4
Subj_242,-300,2.51,4,4
Subj_243,-650,2.52,2,4
Subj_244,-1600,2.12,2,4
Subj_245,550,2.94,4,4
Subj_246,1150,2.66,3,4
Subj_247,-550,2.4,2,4
Subj_248,1100,2.91,3,4
Subj_249,-1750,2.28,2,4
Subj_250,650,2.75,3,4
Subj_251,-900,2.34,2,4
Subj_252,-1400,2.46,1,4
Subj_253,-1550,2.32,2,4
Subj_254,1250,3.01,3,4
Subj_255,250,2.47,2,4
Subj_256,100,2.68,3,4
Subj_257,-1700,2.43,2,4
Subj_258,1250,2.85,3,4
Subj_259,1150,3.0,4,4
Subj_260,150,2.61,2,4
Subj_261,-1450,2.2,2,4
Subj_262,1500,3.0,3,4
Subj_263,-550,2.88,2,4
Subj_264,100,2.49,2,4
Subj_265,-850,2.41,2,4
Subj_266,-150,2.87,2,4
Subj_267,-1000,2.36,1,4
Subj_268,-700,2.37,2,4
Subj_269,1750,2.92,3,4
Subj_270,-2350,2.04,2,4
Subj_271,-400,2.38,2,4
Subj_272,750,2.78,3,4
Subj_273,950,2.97,3,4
Subj_274,-1550,2.41,2,4
Subj_275,650,2.61,2,4
Subj_276,550,2.74,3,4
Subj_277,0,2.84,4,4
Subj_278,-350,2.75,3,4
Subj_279,350,2.73,3,4
Subj_280,1000,2.76,3,4
Subj_281,-1100,2.26,2,4
Subj_282,-800,2.36,2,4
Subj_283,-900,2.54,2,4
Subj_284,-850,2.75,2,4
Subj_285,1450,3.08,4,4
Subj_286,-1350,2.53,2,4
Subj_287,1700,3.75,4,4
Subj_288,-2200,2.16,2,4
Subj_289,1750,2.98,3,4
Subj_290,-300,2.44,2,4
Subj_291,800,3.38,4,4
Subj_292,-3695,2.19,2,5
Subj_293,-2000,2.61,4,5
Subj_294,-915,2.91,4,5
Subj_295,1640,3.01,4,5
Subj_296,-1585,2.56,2,5
Subj_297,1885,3.06,3,5
Subj_298,-2160,2.48,2,5
Subj_299,2510,3.32,4,5
Subj_300,720,3.02,4,5
Subj_301,145,2.62,4,5
Subj_302,2855,3.14,3,5
Subj_303,-65,2.63,4,5
Subj_304,-1060,2.78,4,5
Subj_305,1880,2.92,3,5
Subj_306,-665,3.11,4,5
Subj_307,1045,2.71,3,5
Subj_308,495,2.72,4,5
